date,time,temperature_2m, temp_f
2026-06-25,2026-06-25T10:00,16.3, 61.3
2026-06-25,2026-06-25T15:00,13.8
2026-06-26,2026-06-26T08:30,9.3
2026-06-26,2026-06-26T14:45,7.8
2026-06-27,2026-06-27T01:00,2.9
2026-06-27,2026-06-27T08:45,7.2
2026-06-27,2026-06-27T13:30,6.9
2026-06-28,2026-06-28T01:30,2.7
2026-06-28,2026-06-28T09:30,7.0
2026-06-28,2026-06-28T13:45,8.7
2026-06-29,2026-06-29T06:45,6.8
2026-06-29,2026-06-29T14:45,19.0
2026-06-30,2026-06-30T03:30,5.2
2026-06-30,2026-06-30T11:15,14.3
2026-07-01,2026-07-01T03:45,2.0
2026-07-01,2026-07-01T12:00,7.6
2026-07-02,2026-07-02T01:30,1.8
2026-07-02,2026-07-02T11:15,10.7
2026-07-03,2026-07-03T02:45,3.0
2026-07-03,2026-07-03T10:00,10.0
2026-07-04,2026-07-04T01:00,4.8
2026-07-04,2026-07-04T08:45,8.4
2026-07-04,2026-07-04T13:30,12.4
2026-07-05,2026-07-05T01:30,2.6
2026-07-05,2026-07-05T08:45,5.9
2026-07-05,2026-07-05T13:30,10.0
2026-07-06,2026-07-06T05:15,0.8
2026-07-06,2026-07-06T15:00,18.6
2026-07-07,2026-07-07T09:00,15.1
2026-07-07,2026-07-07T14:45,20.5
2026-07-08,2026-07-08T00:30,9.8
2026-07-08,2026-07-08T10:00,11.4
2026-07-09,2026-07-09T03:30,6.9
2026-07-09,2026-07-09T11:30,11.3
2026-07-10,2026-07-10T03:30,4.5
2026-07-10,2026-07-10T11:00,12.4
2026-07-11,2026-07-10T23:15,7.1
2026-07-11,2026-07-11T03:45,3.9
2026-07-11,2026-07-11T08:30,7.4
2026-07-11,2026-07-11T13:00,13.7
2026-07-12,2026-07-12T00:30,5.4
2026-07-12,2026-07-12T08:30,8.6
2026-07-12,2026-07-12T13:00,10.7
2026-07-13,2026-07-13T01:30,2.3
2026-07-13,2026-07-13T11:15,14.0
2026-07-14,2026-07-13T23:15,7.0
2026-07-14,2026-07-14T05:00,1.2
2026-07-14,2026-07-14T13:30,20.6
2026-07-15,2026-07-14T23:30,8.2
2026-07-15,2026-07-15T05:00,4.1
2026-07-15,2026-07-15T13:30,21.0
2026-07-16,2026-07-15T23:30,8.8
2026-07-16,2026-07-16T05:00,5.1
2026-07-16,2026-07-16T13:00,21.5
2026-07-17,2026-07-16T23:15,11.0
2026-07-17,2026-07-17T04:45,5.6
2026-07-17,2026-07-17T09:30,19.3
2026-07-17,2026-07-17T13:15,25.1
2026-07-18,2026-07-17T22:45,11.8
2026-07-18,2026-07-18T03:45,8.8
2026-07-18,2026-07-18T08:30,16.8
2026-07-18,2026-07-18T13:00,19.8
2026-07-19,2026-07-19T00:30,6.8
2026-07-19,2026-07-19T08:30,9.7
2026-07-19,2026-07-19T13:00,14.1
2026-07-20,2026-07-20T01:15,7.7
2026-07-20,2026-07-20T10:00,8.8
2026-07-21,2026-07-21T00:30,4.2
2026-07-21,2026-07-21T10:00,14.1
2026-07-22,2026-07-22T00:30,8.6
2026-07-22,2026-07-22T13:45,22.5
2026-07-23,2026-07-23T00:30,11.2
2026-07-23,2026-07-23T10:00,20.4
2026-07-24,2026-07-24T00:30,10.2
